Data_Year,Quarter,FUEL_TYPE,ZIP,Number of Vehicles
2011,NA,Electric,91788,1
2011,NA,Electric,91789,5
2011,NA,Electric,91790,1
2011,NA,Electric,91791,1
2011,NA,Electric,91792,1
2011,NA,Electric,91801,2
2011,NA,Electric,91803,1
2011,NA,Electric,91901,3
2011,NA,PHEV,91901,2
2011,NA,Electric,91902,10
2011,NA,PHEV,91902,1
2011,NA,PHEV,91905,1
2011,NA,Electric,91910,6
2011,NA,Electric,91911,2
2011,NA,Electric,91913,6
2011,NA,Electric,91914,7
2011,NA,PHEV,91914,3
2011,NA,Electric,91915,2
2011,NA,PHEV,91932,2
2011,NA,Electric,91935,5
2011,NA,Electric,91941,10
2011,NA,PHEV,91941,2
2011,NA,Electric,91942,1
2011,NA,PHEV,91942,3
2011,NA,Electric,91945,1
2011,NA,Electric,91950,1
2011,NA,Electric,91977,5
2011,NA,Electric,91978,3
2011,NA,Electric,92003,4
2011,NA,Electric,92007,4
2011,NA,PHEV,92007,1
2011,NA,Electric,92008,7
2011,NA,Electric,92009,19
2011,NA,PHEV,92009,4
2011,NA,Electric,92010,4
2011,NA,Electric,92011,9
2011,NA,PHEV,92011,5
2011,NA,Electric,92014,18
2011,NA,PHEV,92014,8
2011,NA,Electric,92019,8
2011,NA,Electric,92020,4
2011,NA,PHEV,92020,1
2011,NA,Electric,92021,4
2011,NA,Electric,92023,1
2011,NA,Electric,92024,47
2011,NA,PHEV,92024,4
2011,NA,Electric,92025,8
2011,NA,PHEV,92025,2
2011,NA,Electric,92026,9
2011,NA,PHEV,92026,1
2011,NA,Electric,92027,5
2011,NA,Electric,92028,6
2011,NA,PHEV,92028,3
2011,NA,Electric,92029,14
2011,NA,PHEV,92029,1
2011,NA,Electric,92036,1
2011,NA,PHEV,92036,1
2011,NA,Electric,92037,25
2011,NA,PHEV,92037,10
2011,NA,Electric,92040,4
2011,NA,PHEV,92040,2
2011,NA,Electric,92054,4
2011,NA,Electric,92056,9
2011,NA,PHEV,92056,3
2011,NA,Electric,92057,8
2011,NA,Electric,92058,1
2011,NA,PHEV,92061,1
2011,NA,Electric,92064,27
2011,NA,PHEV,92064,7
2011,NA,Electric,92065,14
2011,NA,PHEV,92065,2
2011,NA,Electric,92067,9
2011,NA,PHEV,92067,8
2011,NA,Electric,92069,12
2011,NA,Electric,92071,7
2011,NA,Electric,92075,10
2011,NA,PHEV,92075,4
2011,NA,Electric,92078,14
2011,NA,PHEV,92078,2
2011,NA,Electric,92081,3
2011,NA,PHEV,92081,1
